artist_count,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
1,4198,44,838079900,114,F,Minor,77,65,72,2,7
1,14739,43,1163620694,108,D,Minor,61,47,68,0,13
2,26792,32,1093605526,144,E,Minor,74,37,53,7,21
1,213,6,179659294,130,F,Major,51,18,44,76,11
2,58,18,39058561,116,B,Major,77,79,62,33,15
1,99,15,36912123,121,G,Major,65,49,78,0,17
1,41751,25,1205951614,112,G,Major,64,54,81,36,11
1,21164,36,1791000570,100,A#,Minor,70,47,52,30,6
1,2988,59,201660859,150,D#,Minor,55,30,78,24,12
2,893,38,248088961,120,F,Minor,84,96,71,18,34
3,1094,34,90839753,127,B,Minor,82,89,85,4,23
1,7324,22,607123776,90,F,Major,51,42,61,53,9
2,201,11,55842345,128,A,Minor,75,79,63,33,15
2,5120,48,211050784,143,A,Major,64,31,87,4,8
1,2346,27,342897938,139,G#,Major,74,68,68,3,26
2,763,26,2762,162,A#,Major,49,78,64,19,11
1,457,24,330346424,92,,Major,81,39,60,31,7
1,3430,38,601863821,95,F,Major,87,57,55,10,29
3,6074,52,1953533826,146,D,Major,63,88,93,3,10
1,21915,34,2322580122,95,,Major,55,56,82,12,34
2,15032,30,2355719893,115,E,Minor,35,12,30,93,10
2,871,32,66902503,128,B,Major,78,59,65,10,26
1,451,33,96273746,130,E,Minor,82,69,83,3,27
1,1783,27,430977451,127,A,Minor,80,74,77,36,11
1,9389,46,284819874,150,D,Major,42,20,86,21,9
2,5724,44,721975598,122,D,Minor,78,50,63,27,9
1,13985,25,1217120710,140,,Major,52,20,85,0,7
4,1051,16,109276132,140,,Major,63,22,54,46,12
3,1682,46,276259178,119,C#,Minor,75,48,53,18,18
5,182,8,54225632,110,G,Minor,76,96,72,32,9
1,16596,13,2559529074,95,G#,Major,60,17,45,16,11
1,2335,23,681583126,132,F#,Major,56,20,55,45,32
1,18986,23,2594040133,125,A#,Minor,77,74,78,4,23
4,283,7,81102253,124,D#,Minor,84,65,50,67,13
2,293,8,11956641,133,B,Minor,93,68,65,42,12
