released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
8,19,3430,38,601863821,95,87,57,55,10,29
8,16,6074,52,1953533826,146,63,88,93,3,10
11,17,21915,34,2322580122,95,55,56,82,12,34
8,11,15032,30,2355719893,115,35,12,30,93,10
6,21,871,32,66902503,128,78,59,65,10,26
5,15,451,33,96273746,130,82,69,83,3,27
1,2,1783,27,430977451,127,80,74,77,36,11
1,1,9389,46,284819874,150,42,20,86,21,9
1,11,5724,44,721975598,122,78,50,63,27,9
4,20,13985,25,1217120710,140,52,20,85,0,7
6,2,1051,16,109276132,140,63,22,54,46,12
12,2,1682,46,276259178,119,75,48,53,18,18
5,22,182,8,54225632,110,76,96,72,32,9
1,1,16596,13,2559529074,95,60,17,45,16,11
7,20,2335,23,681583126,132,56,20,55,45,32
1,31,18986,23,2594040133,125,77,74,78,4,23
5,19,283,7,81102253,124,84,65,50,67,13
6,1,293,8,11956641,133,93,68,65,42,12
1,1,21081,43,1687664027,112,92,67,66,0,36
7,13,437,31,11599388,97,79,92,89,5,6
11,24,1275,32,611700552,90,59,52,48,38,10
5,6,6135,38,1133865788,80,65,27,69,8,53
1,1,20015,16,1089402494,172,45,33,59,6,8
5,10,1507,14,411747614,120,60,24,35,73,31
1,27,539,21,255932395,140,74,96,80,18,5
6,30,86,8,31873544,128,81,90,77,1,9
5,26,324,14,95053634,122,78,70,81,57,10
1,1,17138,37,1279434863,130,47,86,92,8,5
2,2,894,9,233801632,160,69,61,71,33,31
12,5,1622,9,1481349984,144,73,87,70,6,28
4,4,561,14,142095275,192,50,85,52,11,28
6,17,5871,27,618885532,163,54,40,67,0,9
1,1,29215,43,2011464183,122,66,48,71,6,12
3,19,5866,24,1167330737,154,61,41,74,21,40
10,4,3859,26,929964809,117,73,31,69,6,11
1,23,961,26,436027885,138,78,89,83,10,12
7,13,6457,18,657723613,96,86,74,80,33,8
4,4,43257,24,2713922350,104,77,36,63,1,36
1,1,4564,16,621660989,164,45,24,62,8,16
3,20,12688,13,1591223784,118,68,61,82,2,50
5,25,13801,19,950906471,81,68,51,60,3,19
1,6,22439,19,1593270737,117,82,73,45,54,7
2,2,18515,35,1410088830,174,45,10,37,97,64
1,1,36843,21,1235005533,128,73,60,77,3,11
12,5,2420,11,1661187319,145,60,43,27,94,14
5,25,5897,19,1374581173,150,65,51,55,73,14
6,2,727,16,94186466,90,60,13,53,4,21
1,1,33783,26,1788326445,85,55,42,53,17,22
1,1,26694,13,1840364617,180,33,38,71,20,28
4,12,356,16,143573775,166,57,84,94,11,37
11,25,6518,17,684675814,160,71,40,50,16,16
1,1,21335,13,1113838873,160,65,95,80,5,41
1,1,23389,29,1267333350,92,70,81,63,4,8
3,19,3202,18,726307468,170,56,53,64,11,45
1,6,32181,10,3562543890,96,83,93,65,58,9
11,17,7124,18,1131090940,120,67,40,52,86,12
1,13,592,14,307370144,98,70,37,54,6,9
9,21,36724,7,1271293243,92,53,12,34,1,12
10,18,794,10,265882712,150,34,24,56,4,11
3,21,13091,17,841749534,94,37,17,47,2,11
5,19,67,8,47956378,90,74,36,63,26,27
8,20,21574,30,806397070,160,54,54,55,67,42
8,30,19664,16,2132335812,120,70,59,75,24,9
1,1,21106,13,1641426668,109,63,46,85,1,9
9,13,23804,31,2135158446,129,57,41,66,63,12
12,16,849,22,367316268,157,54,75,60,30,7
4,9,2619,12,350381515,130,63,49,73,5,9
5,6,9037,42,1264310836,107,65,19,72,10,13
7,7,86,11,30343206,146,50,67,89,0,19
2,10,1788,14,405136812,139,48,37,41,32,10
7,1,15890,14,1145727611,116,74,76,70,7,13
7,20,492,36,540654286,95,84,52,77,12,7
6,8,773,33,57312735,170,62,55,80,15,37
12,19,1154,22,397582059,134,81,18,64,3,10
10,19,44927,17,1479115056,84,57,86,90,2,9
6,2,551,4,86773632,146,61,20,48,21,12
5,1,577,14,133753727,74,53,24,67,11,10
5,11,955,29,123124076,144,75,35,48,84,10
11,24,995,19,463564958,136,77,79,73,15,27
5,15,178,6,64533040,100,56,53,55,53,12
6,2,290,19,65496046,105,89,67,78,9,7
5,26,547,0,68616963,106,67,24,78,15,30
3,30,681,10,161460990,132,85,53,68,40,9
6,2,332,5,70106975,120,78,5,30,21,13
3,17,1197,13,113509496,155,82,51,39,2,9
5,13,262,5,89933133,129,70,42,43,78,11
9,29,161,6,71007139,135,80,85,74,62,8
6,2,185,3,43522589,98,73,45,62,28,13
3,31,839,18,232896922,124,84,64,39,3,11
6,2,259,0,37126685,135,77,28,55,18,22
3,23,2915,30,195576623,107,78,39,53,30,11
10,12,5129,25,532336353,96,54,25,74,14,9
11,30,3794,34,538115192,123,71,58,70,30,32
5,26,588,0,46142772,90,62,7,62,6,58
12,2,2959,16,401036314,117,72,45,59,14,20
4,4,291,8,127026613,133,78,90,84,31,7
12,2,2321,36,345031710,96,74,61,83,11,35
12,1,536,10,288101651,149,66,85,60,40,14
5,26,359,2,60350538,110,66,32,40,81,11
11,30,4096,6,335074782,105,95,62,52,3,5
5,22,349,69,76767396,105,80,69,78,28,11
5,26,381,5,46065667,134,76,61,58,6,16
7,8,2461,36,459276435,170,71,59,56,4,27
6,2,277,1,39666245,81,59,26,60,46,25
3,1,967,5,138517666,154,63,75,92,31,91
6,29,8186,12,822633917,169,69,69,51,63,38
7,29,7842,10,595900742,115,78,64,69,4,7
6,5,215,6,51985779,84,43,14,74,1,19
5,18,1134,22,57945987,93,79,58,62,11,11
4,21,1305,34,115010040,91,82,47,62,10,10
4,7,2066,6,175097833,142,82,54,44,6,33
5,19,896,0,57089066,126,78,20,70,1,16
10,21,3763,8,488386797,97,73,10,44,26,16
6,2,197,0,32761689,101,92,59,51,41,26
5,6,4004,33,1047480053,98,80,23,48,14,6
1,27,984,5,153454328,154,59,63,89,18,80
2,14,1240,24,217672943,120,91,63,58,52,31
10,17,3995,13,457184829,150,49,4,55,7,6
1,21,7681,13,939844851,174,47,27,78,11,10
9,1,4427,4,726434358,202,34,25,51,69,18
11,4,4657,18,573633020,153,56,42,52,5,36
10,14,10195,20,1406111294,142,60,13,37,58,13
5,11,269,4,71573339,108,84,55,47,26,20
6,2,214,0,24975653,143,83,25,69,4,23
2,14,845,2,145458418,108,67,55,67,60,80
1,1,20763,27,1424589568,104,95,78,66,3,4
12,16,1267,20,231332117,93,84,96,79,43,18
12,10,2585,32,415932686,105,65,46,53,16,9
6,10,6330,6,988515741,170,44,27,32,89,14
5,4,675,1,50847624,178,62,56,66,18,12
5,5,715,0,39893489,176,50,44,76,10,32
5,1,327,13,92035115,104,80,38,88,11,11
4,21,244,12,118810253,85,70,83,84,31,47
4,30,385,4,77233241,117,77,69,58,39,26
2,24,1020,35,206399629,80,52,57,48,86,15
4,7,1730,3,117747907,98,44,36,41,50,38
2,2,2127,33,266624541,178,79,58,78,34,11
4,8,3242,9,293186992,148,51,27,33,48,22
2,24,526,10,139681964,120,77,94,66,65,38
4,10,366,15,123132751,122,68,38,88,1,8
1,1,472,2,103762518,144,74,75,73,42,9
3,4,432,12,162887075,96,93,47,47,33,10
4,24,271,12,91221625,137,77,35,88,16,17
4,22,816,4,190490915,121,94,71,61,12,53
4,21,1169,0,96180277,119,60,10,57,1,50
8,23,1282,6,185240616,96,72,40,47,71,13
4,21,6587,34,885093467,111,87,53,52,66,11
4,14,1444,4,104992946,148,90,74,68,14,10
2,3,356,10,147290338,182,57,80,59,8,6
9,9,10147,30,1302184087,141,79,82,86,28,4
12,30,265,6,158950978,145,76,80,81,19,6
4,25,351,9,76910644,110,76,26,70,1,41
8,16,158,4,137123880,134,70,35,41,41,10
7,28,7613,33,782369383,130,92,78,62,18,6
10,21,3956,6,502574952,145,84,88,53,35,8
2,5,1638,10,207033255,130,69,36,90,1,15
4,28,924,18,404887295,173,59,69,53,12,23
11,4,1985,35,381161027,92,75,55,76,25,10
6,5,6339,13,466231982,105,56,57,87,0,10
11,25,1561,24,357580552,175,59,15,64,43,12
4,27,875,4,61105704,120,80,33,70,22,9
12,24,406,5,198275403,139,70,77,48,37,12
3,17,340,13,168448603,132,59,56,82,12,12
3,29,4188,15,705469769,114,32,17,74,14,17
5,4,105,0,34502215,145,54,19,48,36,37
9,16,1524,17,482175240,110,82,67,69,0,18
12,22,2651,30,304118600,94,89,61,66,17,36
3,29,11087,6,1449799467,134,45,17,60,21,33
3,24,373,19,173627354,120,62,32,76,0,39
